mep,184393,171364,178653,184187,189597,181617,183160,184106,183122,183122,184187,174634,189384,186516,182797,181544,178384,182518
840,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,-1,1,1
1294,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,-1,0,-1
1909,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,-1,0,-1
1917,X,-1,-1,X,1,X,1,1,0,0,X,-1,1,1,-1,1,1,1
1927,1,1,-1,1,X,1,1,1,1,1,1,-1,1,1,1,1,1,1
2152,X,X,1,X,-1,X,1,X,1,1,X,-1,0,1,1,-1,-1,-1
2268,X,X,1,X,X,1,-1,1,1,1,X,-1,X,1,1,-1,-1,-1
2341,1,-1,-1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1
4267,1,1,X,1,-1,1,1,1,1,1,1,-1,1,1,1,-1,X,-1
4289,X,-1,-1,X,1,-1,1,X,0,0,X,-1,1,1,X,1,1,1
4395,-1,-1,X,-1,1,X,1,1,-1,-1,-1,1,1,0,0,1,X,1
4746,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,1,1,0,0,1,1,1
5392,1,1,X,1,-1,1,1,1,1,1,1,-1,1,1,1,-1,X,-1
5729,1,X,1,1,-1,1,1,1,1,1,1,-1,1,1,1,-1,0,X
5736,0,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,-1,0,1,1,1
124858,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
257005,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
257067,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
22418,X,-1,-1,X,1,1,1,1,1,1,X,-1,1,1,1,1,1,1
22858,1,1,1,1,-1,1,1,1,1,1,1,-1,0,1,1,-1,1,0
23699,1,X,1,0,1,-1,0,1,1,1,0,1,-1,1,X,-1,0,X
23781,1,-1,-1,0,1,X,X,1,X,X,0,-1,1,1,1,1,1,1
23788,-1,X,0,-1,1,-1,1,1,-1,-1,-1,1,1,0,0,1,1,1
23816,X,X,-1,X,X,-1,X,X,X,X,X,1,X,X,0,1,1,1
23868,X,X,1,X,1,0,0,1,1,1,X,1,1,-1,1,1,-1,0
24922,1,0,-1,1,-1,1,1,1,1,1,1,-1,1,1,1,0,1,X
24942,1,1,1,1,X,1,1,1,1,1,1,-1,X,X,1,-1,1,-1
25758,1,1,1,1,1,0,-1,1,1,1,1,0,-1,1,1,-1,-1,0
28122,1,1,-1,1,1,0,1,1,1,1,1,-1,1,1,1,1,1,X
28150,0,X,-1,1,1,-1,-1,1,-1,-1,1,1,1,X,X,1,1,1
28219,1,-1,-1,-1,,-1,1,X,1,1,-1,-1,,,1,1,1,1
28223,1,0,-1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1
28226,1,X,-1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1
28229,X,X,-1,X,1,1,1,1,1,1,X,-1,1,1,1,1,1,1
28298,1,X,1,1,-1,1,1,1,1,1,1,-1,1,1,1,-1,0,-1
28307,1,1,1,1,-1,X,1,1,1,1,1,-1,X,1,1,X,0,-1
28347,1,1,1,1,X,1,1,1,1,1,1,-1,X,1,1,-1,0,-1
28390,X,X,-1,X,1,1,1,1,1,1,X,-1,1,1,1,1,1,1
28399,1,-1,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1
28400,1,-1,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1
28419,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,-1,0,-1
28615,0,X,-1,-1,1,X,1,1,-1,-1,-1,-1,1,0,0,1,1,1
28617,1,X,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1
30123,-1,-1,-1,-1,1,-1,-1,0,-1,-1,-1,1,1,-1,-1,1,1,1
30482,1,1,1,1,X,X,X,1,X,X,1,-1,X,1,1,X,-1,-1
33998,1,1,1,1,0,1,1,1,1,1,1,-1,1,1,1,-1,0,1
34232,1,X,1,1,-1,1,1,1,1,1,1,-1,1,1,1,-1,0,-1
36392,-1,X,X,-1,1,X,X,1,X,X,-1,1,1,-1,0,X,X,1
37312,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1
37324,1,X,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
38511,X,-1,1,X,1,-1,-1,-1,-1,-1,X,1,1,-1,0,-1,1,1
38542,1,1,1,1,0,1,1,1,1,1,1,-1,1,1,1,-1,0,-1
39725,1,-1,-1,1,1,-1,1,1,1,1,1,-1,X,1,1,1,1,1
40224,1,1,1,1,X,1,1,1,1,1,1,-1,1,1,1,-1,X,1
40599,1,X,0,1,-1,1,1,1,1,1,1,-1,1,1,1,-1,1,-1
58766,X,X,X,X,-1,1,1,X,1,1,X,-1,1,1,1,-1,1,-1
72779,-1,-1,-1,1,1,-1,1,1,0,0,1,-1,1,1,1,1,1,1
86057,1,-1,-1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1
86793,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,-1,1,-1
88552,0,X,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,X,0,1,1,1
88882,1,X,1,1,X,1,1,1,1,1,1,-1,1,1,1,-1,0,1
91636,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,-1,1,-1
94649,0,-1,-1,-1,1,-1,X,X,X,X,-1,1,1,-1,0,1,1,1
95074,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
96653,1,1,1,-1,1,0,1,1,1,1,-1,1,1,-1,1,1,-1,0
96668,1,-1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
96675,1,X,1,1,-1,1,1,1,1,1,1,-1,1,1,1,-1,1,-1
96681,1,1,1,1,-1,1,X,1,X,X,1,-1,1,1,1,-1,0,-1
96697,1,X,X,0,X,-1,1,1,X,X,0,1,X,1,X,1,X,1
96709,0,X,-1,-1,1,0,1,1,-1,-1,-1,-1,1,1,-1,1,1,1
96711,X,1,1,X,-1,1,1,1,1,1,X,-1,0,1,1,-1,1,0
96725,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,-1,1,-1
96752,X,1,1,X,-1,1,1,1,1,1,X,-1,1,1,1,-1,1,-1
96756,X,-1,-1,X,1,1,1,1,1,1,X,X,1,1,1,1,1,1
96761,1,-1,-1,1,1,-1,1,1,1,1,1,-1,1,1,X,X,1,X
96780,X,-1,-1,X,1,-1,1,1,0,0,X,-1,1,1,1,1,1,1
96787,1,-1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
96791,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
96808,1,-1,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1
96810,-1,-1,-1,-1,1,-1,X,1,X,X,-1,1,1,0,0,1,1,1
96811,1,-1,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1
96812,1,1,1,1,-1,1,1,1,X,X,1,-1,1,1,1,-1,0,-1
96826,X,X,-1,X,1,-1,-1,X,-1,-1,X,1,1,X,0,1,1,1
96830,0,X,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,0,1,1,1
96833,X,1,1,X,-1,1,1,1,1,1,X,-1,1,1,1,-1,-1,-1
96932,1,1,1,X,-1,1,1,1,1,1,X,-1,0,1,1,-1,-1,-1
96933,1,-1,-1,-1,1,0,1,1,1,1,-1,1,1,1,1,1,1,1
96934,1,X,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1
96936,1,-1,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1
96940,1,0,-1,1,-1,1,1,1,1,1,1,-1,1,1,1,-1,1,-1
96998,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,-1,-1,-1
97236,1,1,1,1,-1,1,0,1,1,1,1,-1,-1,1,1,-1,-1,-1
97399,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1
97968,1,1,-1,0,1,1,1,1,1,1,0,-1,1,1,1,1,1,1
98219,X,-1,-1,X,1,1,1,1,-1,-1,X,-1,1,1,-1,1,1,1
98341,X,1,-1,X,1,X,X,X,X,X,X,-1,1,X,X,X,1,X
98582,X,-1,-1,X,1,-1,1,X,1,1,X,-1,1,1,1,1,1,1
99878,-1,1,1,-1,X,-1,1,X,-1,-1,-1,1,X,0,0,1,1,1
99945,1,-1,-1,1,1,X,1,1,1,1,1,-1,1,1,1,1,1,1
101039,-1,-1,0,-1,1,-1,0,1,-1,-1,-1,1,1,-1,0,1,0,1
101585,1,1,1,1,1,X,X,1,X,X,1,-1,1,1,X,X,1,X
103246,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,1
103381,1,1,1,1,-1,1,1,1,X,X,1,-1,1,1,1,-1,1,-1
106936,1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,1,-1,1,-1
107212,1,-1,-1,0,1,1,1,1,1,1,0,-1,1,1,1,1,1,1
110673,1,X,-1,0,1,1,1,1,1,1,0,-1,1,1,X,1,1,X
111412,1,1,1,1,-1,X,1,1,1,1,1,-1,1,1,1,-1,1,-1
112744,1,1,1,1,X,1,1,1,1,1,1,-1,X,1,1,-1,0,-1
112747,1,1,1,1,X,1,1,1,1,1,1,-1,X,1,1,-1,0,-1
112748,1,1,1,1,-1,1,1,1,1,1,1,-1,1,X,1,-1,0,-1
113523,1,X,-1,1,1,X,X,1,X,X,1,-1,1,1,1,1,1,1
118859,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
