mep,109166,110894,157271,157321,157420,160818,160956,162046,162314,164096,164186,168864
1394,1,1,,,,,,,,,,
840,X,1,-1,-1,1,-1,1,-1,1,-1,-1,-1
1854,1,1,,,,,,,,,,
1892,,,1,1,-1,-1,1,1,1,0,-1,-1
1909,1,1,-1,-1,1,-1,1,-1,X,-1,-1,X
1913,1,1,,,,,,,,,,
1917,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1
1927,1,-1,1,1,-1,-1,1,1,X,-1,-1,-1
1992,1,-1,1,1,-1,X,X,X,1,X,X,-1
2187,0,-1,,,,,,,,,,
2054,1,1,-1,-1,1,-1,1,-1,1,1,1,1
2309,1,1,,,,,,,,,,
2323,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1
2341,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1
4246,1,-1,1,1,1,-1,1,1,1,-1,X,-1
4253,1,1,-1,-1,1,X,X,X,X,X,X,-1
4267,1,1,-1,-1,1,-1,1,X,1,X,-1,X
4289,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1
4344,1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1
4391,X,X,,,,,,,,,,
4465,1,-1,,,,,,,,,,
4513,X,X,,,,,,,,,,
4519,1,1,,,,,,,,,,
4525,X,-1,,,,,,,,,,
4533,1,1,,,,,,,,,,
4550,1,1,,,,,,,,,,
4554,X,1,,,,,,,,,,
4555,X,-1,,,,,,,,,,
4560,1,0,1,1,-1,-1,1,1,1,-1,1,-1
4746,,,1,1,-1,1,-1,1,1,-1,1,-1
5565,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1
5729,1,1,-1,-1,1,-1,1,-1,1,-1,-1,1
22858,1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1
23699,1,1,0,1,X,1,1,-1,1,1,X,-1
23712,0,-1,1,1,X,1,-1,1,0,-1,1,-1
23768,1,1,-1,-1,1,-1,1,-1,1,0,-1,-1
23781,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1
23788,0,-1,1,1,-1,1,-1,1,1,1,-1,X
23816,-1,X,1,1,-1,1,-1,1,X,X,X,X
23821,-1,X,,,,,,,,,,
23868,1,1,1,1,1,1,1,X,X,1,X,X
26837,1,0,,,,,,,,,,
28115,1,-1,,,,,,,,,,
28122,1,-1,1,1,1,-1,1,1,1,-1,-1,-1
28141,X,X,1,1,-1,X,X,X,X,0,-1,-1
28150,-1,-1,1,1,-1,1,-1,X,1,X,X,-1
28161,1,1,-1,-1,1,-1,1,-1,1,0,0,1
28219,-1,-1,1,1,-1,-1,1,1,1,-1,-1,X
28223,-1,-1,1,1,-1,1,1,1,-1,-1,-1,-1
28224,1,-1,1,1,-1,1,1,X,1,-1,-1,-1
28226,1,X,1,1,-1,X,X,1,-1,-1,-1,-1
28229,0,X,1,1,-1,-1,1,1,1,X,X,-1
28266,1,1,-1,-1,1,-1,1,-1,1,-1,-1,1
28269,1,-1,1,1,-1,-1,1,1,X,X,X,-1
28288,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1
28294,X,-1,1,1,-1,-1,1,1,1,-1,-1,X
28297,X,-1,X,1,-1,1,-1,1,0,1,-1,-1
28298,1,1,-1,-1,1,-1,1,-1,1,-1,X,-1
28340,1,1,-1,-1,1,-1,1,-1,X,-1,0,-1
28346,,,-1,-1,1,-1,1,-1,1,-1,1,X
28347,1,1,-1,-1,1,-1,1,-1,1,-1,1,-1
28353,0,-1,1,1,-1,1,-1,1,0,1,-1,-1
28372,0,-1,1,1,-1,1,-1,1,X,-1,-1,-1
28389,1,-1,1,1,-1,,,,,,,
28390,-1,-1,1,1,-1,-1,1,1,-1,-1,-1,-1
28399,-1,-1,1,1,-1,-1,X,1,1,-1,-1,-1
28400,-1,X,1,1,-1,-1,-1,1,1,-1,-1,-1
28429,,,1,1,-1,-1,1,1,1,X,X,X
28508,1,,,,,,,,,,,
28586,1,1,-1,-1,1,-1,X,-1,1,X,X,X
28615,0,0,1,1,-1,1,-1,-1,X,X,X,-1
28617,1,-1,1,1,1,-1,-1,1,1,-1,-1,-1
28619,1,1,-1,-1,1,-1,1,-1,1,1,-1,-1
29579,1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1
33982,1,-1,1,1,-1,1,1,1,1,-1,-1,-1
33997,1,X,-1,1,X,-1,1,X,X,-1,-1,X
36392,0,X,X,X,X,-1,1,X,X,-1,1,X
37312,1,1,-1,-1,1,-1,1,-1,1,-1,1,1
37324,0,,,,,,,,,,,
38398,1,-1,1,1,-1,-1,1,1,1,-1,X,
38420,1,-1,1,1,-1,-1,1,X,1,-1,-1,X
38595,1,1,0,1,1,-1,1,-1,1,-1,-1,-1
39725,-1,-1,1,1,-1,1,1,1,X,-1,-1,-1
40599,1,1,-1,-1,1,-1,1,-1,X,1,-1,X
96646,1,1,-1,-1,1,-1,1,-1,1,1,-1,1
96648,1,1,-1,-1,1,-1,1,-1,1,1,-1,1
96653,,,-1,1,1,1,1,X,1,1,-1,-1
96668,1,-1,-1,-1,1,-1,1,1,1,-1,-1,-1
96681,-1,1,X,X,X,-1,1,-1,X,-1,1,1
96697,1,-1,1,1,1,1,-1,1,0,1,-1,-1
96698,1,1,-1,-1,1,0,1,-1,X,X,X,X
96706,1,1,,,,,,,,,,
96709,-1,1,1,1,1,-1,1,-1,1,-1,-1,1
96711,1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1
96713,0,-1,1,1,0,1,-1,1,X,-1,1,-1
96725,1,1,-1,-1,1,-1,1,X,X,1,-1,1
96730,1,1,,,,,,,,,,
96734,X,1,-1,-1,1,-1,1,-1,1,1,-1,1
96739,1,1,-1,-1,1,-1,1,-1,1,1,-1,1
96740,1,1,-1,-1,1,,,,,,,
96743,1,1,X,X,X,-1,1,-1,,,,
96747,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1
96750,1,1,-1,-1,1,-1,1,-1,1,X,X,1
96752,1,1,-1,-1,1,-1,1,-1,1,1,-1,1
96756,1,-1,1,1,-1,0,1,1,-1,X,X,-1
