epid,country,first_name,last_name,birthdate,gender,eugroup,party
119436,Croatia,Ivana,MALETIĆ,12/10/1973,F,PPE,Hrvatska demokratska zajednica
96798,United Kingdom,John,BUFTON,31/08/1962,M,EFD,United Kingdom Independence Party
96717,Czech Republic,Robert,DUŠEK,14/03/1967,M,S&D,Česká strana sociálně demokratická
97058,Belgium,Guy,VERHOFSTADT,11/04/1953,M,ALDE,Open Vlaamse Liberalen en Democraten
96897,United Kingdom,John Stuart,AGNEW,30/08/1949,M,EFD,United Kingdom Independence Party
96976,Portugal,Luís Paulo,ALVES,19/09/1961,M,S&D,Partido Socialista
96808,Spain,Pablo,ARIAS ECHEVERRÍA,30/06/1970,M,PPE,Partido Popular
5956,Portugal,Regina,BASTOS,04/11/1960,F,PPE,Partido Social Democrata
96955,United Kingdom,Catherine,BEARDER,14/01/1949,F,ALDE,Liberal Democrats Party
96738,France,Sandrine,BÉLIER,02/09/1973,F,Verts/ALE,Europe Écologie
96705,Denmark,Bendt,BENDTSEN,25/03/1954,M,PPE,Det Konservative Folkeparti
96922,Spain,Izaskun,BILBAO BARANDICA,27/03/1961,F,ALDE,Partido Nacionalista Vasco
97198,Italy,Mara,BIZZOTTO,03/06/1972,F,EFD,Lega Nord
96681,Lithuania,Vilija,BLINKEVIČIŪTĖ,03/03/1960,F,S&D,Lietuvos socialdemokratų partija
96799,Poland,Piotr,BORYS,11/01/1976,M,PPE,Platforma Obywatelska
96719,Czech Republic,Andrea,ČEŠKOVÁ,18/10/1971,F,ECR,Občanská demokratická strana
96603,Ireland,Nessa,CHILDERS,09/10/1956,F,NA/NI,Labour Party
28493,United Kingdom,Derek Roland,CLARK,10/10/1933,M,EFD,United Kingdom Independence Party
96915,Italy,Sergio Gaetano,COFFERATI,30/01/1948,M,S&D,Partito Democratico
96975,Portugal,António Fernando,CORREIA DE CAMPOS,14/12/1942,M,S&D,Parti socialiste
96917,Italy,Silvia,COSTA,12/06/1949,F,S&D,Partito Democratico
96951,United Kingdom,Diane,DODDS,16/08/1958,F,NA/NI,Democratic Unionist Party (Northern Ireland)
96888,Italy,Leonardo,DOMENICI,12/07/1955,M,S&D,Partito Democratico
96692,Lithuania,Leonidas,DONSKIS,13/08/1962,M,ALDE,Lietuvos Respublikos liberalų sąjūdis
