epid,firstname,lastname,active,start,end,birthdate,country,gender,eugroup,party,email,twitter,term,voteid,ep2024
254876,Ricardo,MORGADO,1,2024-04-10,,,pt,,EPP,Partido Social Democrata,,,9,7362,
254722,Teófilo,SANTOS,1,2024-04-02,,1951-02-12,pt,,EPP,Partido Social Democrata,,,9,7361,
254721,Vânia,NETO,1,2024-04-02,,1979-04-25,pt,,EPP,Partido Social Democrata,,,9,7360,
254720,Ana Miguel,DOS SANTOS,1,2024-04-02,,1981-09-12,pt,,EPP,Partido Social Democrata,,,9,7359,
254719,Vasco,BECKER-WEINBERG,1,2024-03-26,,1979-09-21,pt,,EPP,Partido do Centro Democrático Social-Partido Popular,,,9,7358,
254718,Anabela,RODRIGUES,1,2024-03-26,,1976-10-18,pt,,GUE/NGL,Bloco de Esquerda,,,9,7357,
253043,Henk Jan,ORMEL,1,2024-02-27,,1955-12-15,nl,,EPP,Christen Democratisch Appèl,,,9,7347,
253008,Linus,GLANZELIUS,1,2024-02-27,,1990-12-28,se,,S&D,Arbetarepartiet- Socialdemokraterna,,,9,7346,
251874,Niels,GEUKING,1,2024-02-05,,1992-11-17,de,,EPP,Familien-Partei Deutschlands,,,9,7345,f2ne
251859,Guy,LAVOCAT,1,2024-01-12,,1963-02-14,fr,,Renew,Renaissance,,,9,7344,fxu
251324,Krzysztof,BREJZA,1,2024-01-03,,1983-05-16,pl,,EPP,Platforma Obywatelska,,,9,7343,h6y3
251268,Michael,KAUCH,1,2024-01-01,,1967-05-04,de,,Renew,Freie Demokratische Partei,,,9,7342,
251249,Esther,SANZ SELVA,1,2023-12-21,,1985-07-02,es,,GUE/NGL,PODEMOS,,,9,7341,
250918,François,THIOLLET,1,2023-11-30,,1975-10-21,fr,,Greens/EFA,Europe Écologie,,,9,7340,qxq
250572,Patricia,CARO MAYA,1,2023-11-30,,,es,,GUE/NGL,PODEMOS,,,9,7339,
250538,Rafał,ROMANOWSKI,1,2023-11-29,,1978-02-15,pl,,ECR,Prawo i Sprawiedliwość,,,9,7338,
250237,Włodzimierz,KARPIŃSKI,1,2023-11-16,,1961-11-16,pl,,EPP,Independent,,,9,7337,
250235,Witold,PAHL,1,2023-11-16,,1961-12-07,pl,,EPP,Platforma Obywatelska,,,9,7336,yxk
249826,Jozef,MIHÁL,1,2023-10-26,,1965-03-18,sk,,Renew,Independent,,,9,7335,0xj
249603,Martine,KEMP,1,2023-10-24,,1994-07-08,lu,,EPP,Parti chrétien social luxembourgeois,,,9,7334,
249443,Wolfram,PIRCHNER,1,2023-10-17,,1958-04-21,at,,EPP,Österreichische Volkspartei,,,9,7333,5xg
249285,Lydie,MASSARD,1,2023-09-24,,1978-08-24,fr,,Greens/EFA,Régions et Peuples Solidaires,,,9,7332,e14q
249284,Laurence,SAILLIET,1,2023-09-24,,1973-03-01,fr,,EPP,Les Républicains,,,9,7331,
247737,Ana,COLLADO JIMÉNEZ,1,2023-09-06,,1984-02-08,es,,EPP,Partido Popular,,,9,7330,
247735,Laura,BALLARÍN CEREZA,1,2023-09-06,,1984-07-19,es,,S&D,Partido Socialista Obrero Español,,,9,7329,cxd
247709,Anja,HAGA,1,2023-09-05,,1976-12-25,nl,,EPP,ChristenUnie,,,9,7328,gxb
247122,Catherine,AMALRIC,1,2023-08-10,,1964-10-19,fr,,Renew,Parti Radical,,,9,7327,jx9
245858,Thomas,RUDNER,1,2023-07-03,,1961-09-11,de,,S&D,Sozialdemokratische Partei Deutschlands,,,9,7326,mx8
245018,Christophe,CLERGEAU,1,2023-06-02,,1968-09-01,fr,,S&D,Parti socialiste,,,9,7325,px7
244571,Nikos,PAPANDREOU,1,2023-05-03,,1956-09-29,gr,,S&D,PASOK-KINAL,,,9,7324,x7sy
243979,Francesca,PEPPUCCI,1,2023-04-06,,1993-06-02,it,,EPP,Forza Italia,,,9,7323,tx5
243912,Maria Veronica,ROSSI,1,2023-04-06,,1988-09-22,it,,ID,Lega,,,9,7322,
240478,Beatrice,COVASSI,1,2022-12-06,,1968-12-01,it,,S&D,Partito Democratico,,,9,7321,xx3
239973,Bergur Løkke,RASMUSSEN,1,2023-03-13,,1990-03-04,dk,,Renew,Moderaterne,,,9,7319,s66c
239972,Erik,POULSEN,1,2022-11-22,,1967-06-16,dk,,Renew,"Venstre, Danmarks Liberale Parti",,,9,7318,1x1
239271,Eleni,STAVROU,1,2022-11-02,,1975-07-04,cy,,EPP,Democratic Rally,,,9,7317,7wy
239262,Elisabetta,DE BLASIS,1,2024-01-26,,1974-04-30,it,,ECR,FRATELLI D' ITALIA,,,9,7316,
239260,Denis,NESCI,1,2022-11-02,,1981-07-25,it,,ECR,FRATELLI D' ITALIA,,,9,7315,
